block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
4 213 829.2 Go 1 0 800 800 2 0 0 1 1 nan nan 764.1 780.0
4 214 832.6 Go 1 0 800 800 1 1 1 0 0 803.8 803.8 nan nan
4 215 835.7 Go 1 0 800 800 1 1 1 0 0 788.3 788.3 nan nan
4 216 838.8 Stop-left 3 585 800 800 1 0 1 0 0 nan 899.7 nan nan
5 217 844.7 Go 1 0 800 800 2 0 0 1 1 nan nan 788.6 788.6
5 218 847.7 Go 1 0 800 800 1 1 1 0 0 749.7 765.6 nan nan
5 219 850.8 Go 1 0 800 800 1 1 1 0 0 783.6 783.6 nan nan
5 220 853.9 Go 1 0 800 800 1 1 1 0 0 786.9 802.5 nan nan
5 221 857.4 Go 1 0 800 800 2 0 0 1 1 nan nan 782.9 782.9
5 222 860.6 Go 1 0 800 800 1 1 1 0 0 832.6 800.8 nan nan
5 223 863.6 Go 1 0 800 800 1 1 1 0 0 792.9 792.9 nan nan
5 224 866.9 Go 1 0 800 800 2 0 0 1 1 nan nan 820.0 820.0
5 225 870.3 Stop-all 2 620 800 800 1 1 1 0 0 797.0 797.0 nan nan
5 226 873.6 Go 1 0 800 800 2 0 0 1 1 nan nan 827.5 827.5
5 227 876.6 Go 1 0 800 800 2 0 0 1 1 nan nan 759.7 759.7
5 228 879.9 Go 1 0 800 800 2 0 0 1 1 nan nan 791.4 791.4
5 229 883.0 Stop-right 4 550 800 800 2 0 0 1 0 nan nan 865.6 nan
5 230 886.5 Go 1 0 800 800 1 1 1 0 0 769.1 785.1 nan nan
5 231 889.8 Stop-left 3 620 800 800 2 0 0 1 1 nan nan 813.2 813.2
5 232 893.1 Go 1 0 800 800 2 0 0 1 1 nan nan 804.5 804.5
5 233 896.6 Go 1 0 800 800 2 0 0 1 1 nan nan 804.5 804.5
5 234 899.8 Stop-right 4 585 800 800 1 0 1 0 0 nan 833.3 nan nan
5 235 903.1 Stop-left 3 585 800 800 1 1 1 0 0 752.7 768.6 nan nan
5 236 906.4 Go 1 0 800 800 1 1 1 0 0 796.4 796.4 nan nan
5 237 909.7 Go 1 0 800 800 1 1 1 0 0 815.6 831.9 nan nan
5 238 912.8 Go 1 0 800 800 2 0 0 1 1 nan nan 804.3 820.0
5 239 916.3 Stop-right 4 550 800 800 1 1 0 0 0 910.1 nan nan nan
5 240 919.8 Stop-left 3 550 800 800 2 0 0 0 1 nan nan nan 825.7
5 241 922.8 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
5 242 926.2 Go 1 0 800 800 1 1 1 0 0 828.6 828.6 nan nan
5 243 929.6 Go 1 0 800 800 2 0 0 1 1 nan nan 740.4 740.4
5 244 933.0 Go 1 0 800 800 1 1 1 0 0 804.3 804.3 nan nan
5 245 936.1 Go 1 0 800 800 1 1 1 0 0 807.4 807.4 nan nan
5 246 939.4 Go 1 0 800 800 2 0 0 1 1 nan nan 809.0 824.9
5 247 942.9 Go 1 0 800 800 1 1 1 0 0 786.7 786.7 nan nan
5 248 946.3 Stop-left 3 585 800 800 1 1 1 0 0 749.3 749.3 nan nan
5 249 949.5 Go 1 0 800 800 1 1 1 0 0 797.9 797.9 nan nan
5 250 952.8 Stop-all 2 620 800 800 2 0 0 0 1 nan nan nan 816.4
5 251 956.2 Stop-right 4 585 800 800 2 0 0 1 0 nan nan 970.6 nan
5 252 959.2 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
6 253 963.5 Go 1 0 800 800 2 0 0 1 1 nan nan 811.0 811.0
6 254 966.5 Stop-right 4 620 800 800 1 1 0 0 0 955.9 nan nan nan
6 255 969.9 Go 1 0 800 800 1 1 1 0 0 787.3 787.3 nan nan
6 256 973.2 Stop-left 3 550 800 800 1 0 1 0 0 nan 859.3 nan nan
6 257 976.3 Go 1 0 800 800 2 0 0 0 1 nan nan nan 828.7
6 258 979.8 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 975.2
6 259 983.3 Go 1 0 800 800 1 0 0 0 0 nan nan nan nan
6 260 986.6 Go 1 0 800 800 2 0 0 1 1 nan nan 792.0 807.8
6 261 990.1 Go 1 0 800 800 1 1 1 0 0 731.5 731.5 nan nan
6 262 993.2 Go 1 0 800 800 2 0 0 1 1 nan nan 760.7 760.7
6 263 996.3 Stop-left 3 620 800 800 1 1 1 0 0 762.9 778.7 nan nan
6 264 999.8 Go 1 0 800 800 1 1 1 0 0 813.8 813.8 nan nan
6 265 1003.2 Go 1 0 800 800 1 1 1 0 0 772.4 772.4 nan nan
6 266 1006.5 Go 1 0 800 800 2 0 0 1 1 nan nan 814.5 830.5
6 267 1009.6 Go 1 0 800 800 2 0 0 1 1 nan nan 811.7 827.7
6 268 1013.0 Go 1 0 800 800 2 0 0 1 1 nan nan 843.8 795.9
6 269 1016.3 Stop-right 4 655 800 800 2 0 0 1 1 nan nan 812.9 812.9
6 270 1019.8 Go 1 0 800 800 1 1 1 0 0 765.8 765.8 nan nan
6 271 1022.9 Go 1 0 800 800 2 0 0 1 1 nan nan 791.8 807.5
6 272 1026.0 Stop-left 3 585 800 800 2 0 0 1 1 nan nan 793.5 793.5
6 273 1029.3 Go 1 0 800 800 2 0 0 1 1 nan nan 794.3 794.3
6 274 1032.3 Go 1 0 800 800 1 1 1 0 0 823.0 823.0 nan nan
6 275 1035.4 Stop-all 2 620 800 800 2 0 0 0 1 nan nan nan 841.0
6 276 1038.5 Go 1 0 800 800 2 0 0 1 1 nan nan 775.4 807.6
6 277 1041.6 Stop-right 4 620 800 800 1 1 1 0 0 807.6 807.6 nan nan
6 278 1044.9 Go 1 0 800 800 1 1 1 0 0 815.6 815.6 nan nan
6 279 1048.3 Stop-right 4 585 800 800 1 1 1 0 0 812.2 812.2 nan nan
6 280 1051.5 Go 1 0 800 800 2 0 0 1 1 nan nan 807.3 807.3
6 281 1054.5 Stop-all 2 585 800 800 1 1 1 0 0 810.0 810.0 nan nan
6 282 1057.7 Go 1 0 800 800 1 1 1 0 0 821.3 837.1 nan nan
6 283 1061.0 Stop-all 2 550 800 800 2 0 0 0 0 nan nan nan nan
6 284 1064.2 Go 1 0 800 800 1 1 1 0 0 780.6 796.4 nan nan
6 285 1067.4 Go 1 0 800 800 1 1 1 0 0 801.7 801.7 nan nan
6 286 1070.8 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
6 287 1073.9 Go 1 0 800 800 2 0 0 1 1 nan nan 811.1 811.1
6 288 1077.1 Go 1 0 800 800 1 1 1 0 0 802.0 802.0 nan nan
7 289 1097.8 Go 1 0 800 800 2 0 0 1 1 nan nan 783.6 783.6
7 290 1101.0 Go 1 0 800 800 2 0 0 1 1 nan nan 790.0 805.5
7 291 1104.2 Go 1 0 800 800 2 0 0 1 1 nan nan 797.0 829.3
7 292 1107.6 Go 1 0 800 800 2 0 0 1 1 nan nan 797.8 813.3
7 293 1110.9 Stop-left 3 550 800 800 1 0 1 0 0 nan 896.3 nan nan
