block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
3 158 562.2 Go 1 0 0 0 2 0 0 1 1 nan nan 496.4 496.4
3 159 565.3 Go 1 0 0 0 2 0 0 1 1 nan nan 495.1 495.1
3 160 568.8 Go 1 0 0 0 1 1 1 0 0 509.8 509.8 nan nan
3 161 572.1 Go 1 0 0 0 1 1 1 0 0 489.9 489.9 nan nan
3 162 575.2 Stop-right 4 250 0 0 1 1 0 0 0 640.9 nan nan nan
3 163 578.6 Go 1 0 0 0 1 1 1 0 0 507.3 507.3 nan nan
3 164 582.0 Go 1 0 0 0 2 0 0 1 1 nan nan 486.5 486.5
3 165 585.0 Stop-right 4 285 0 0 1 1 1 0 0 371.5 371.5 nan nan
3 166 588.3 Go 1 0 0 0 2 0 0 1 1 nan nan 500.5 516.6
3 167 591.6 Go 1 0 0 0 2 0 0 1 1 nan nan 537.8 553.3
3 168 594.6 Go 1 0 0 0 1 1 1 0 0 450.8 450.8 nan nan
3 169 597.7 Go 1 0 0 0 1 1 1 0 0 476.0 476.0 nan nan
3 170 600.7 Go 1 0 0 0 2 0 0 1 1 nan nan 302.6 302.6
3 171 603.9 Stop-all 2 250 0 0 1 1 1 0 0 399.0 399.0 nan nan
3 172 607.1 Stop-left 3 320 0 0 1 1 1 0 0 444.8 444.8 nan nan
3 173 610.5 Go 1 0 0 0 2 0 0 1 1 nan nan 343.9 343.9
3 174 613.8 Stop-all 2 215 0 0 2 0 0 1 1 nan nan 365.2 380.9
3 175 617.1 Go 1 0 0 0 1 1 1 0 0 375.8 375.8 nan nan
3 176 620.3 Go 1 0 0 0 1 1 1 0 0 385.5 385.5 nan nan
3 177 623.6 Go 1 0 0 0 2 0 0 1 1 nan nan 455.8 472.0
3 178 627.0 Stop-left 3 285 0 0 2 0 0 1 1 nan nan 355.7 387.5
3 179 630.4 Go 1 0 0 0 1 1 1 0 0 121.5 105.6 nan nan
3 180 633.6 Go 1 0 0 0 1 1 1 0 0 309.4 309.4 nan nan
4 181 644.2 Go 1 0 0 0 1 1 1 0 0 250.5 250.5 nan nan
4 182 647.5 Go 1 0 0 0 1 1 1 0 0 354.2 354.2 nan nan
